,ID_REF,VALUE,COUNT
672,3383130,5.6169,49
673,2927873,5.82168,57
674,2953408,5.17661,36
675,3417557,5.08191,34
676,3662808,11.3288,2572
677,3772719,8.793,444
678,3442986,3.75936,14
679,3383138,10.6878,1649
680,3917155,7.59159,193
681,3747288,5.74268,54
682,3857208,6.29763,79
683,3687342,5.08245,34
684,2428405,10.7345,1704
685,3247712,9.03961,526
686,2818079,5.38423,42
687,3722770,5.25027,38
688,2673648,6.01812,65
689,3992546,4.88839,30
690,3028001,3.90796,15
691,3417574,6.33996,81
692,3297666,4.18956,18
693,3553017,6.03278,65
694,2868044,7.98385,253
695,3577443,4.5522,23
696,2903470,8.15475,285
697,3807261,4.62594,25
698,3417583,7.97014,251
699,2953435,6.67183,102
700,3028011,4.57232,24
701,3273251,7.43115,173
702,3527493,10.158,1143
703,3882652,5.30825,40
704,2428425,5.93848,61
705,3027915,5.61769,49
706,3307680,5.90543,60
707,3687363,8.32472,321
708,3383164,8.4245,344
709,3747324,5.9915,64
710,2708203,6.7886,111
711,2903488,6.834,114
712,3527514,7.90765,240
713,3722806,5.74811,54
714,3053451,6.17883,72
715,3333226,5.48441,45
716,3662851,5.01386,32
717,3992575,4.20621,18
718,3917204,4.62717,25
719,2903507,6.7625,109
720,2673684,7.57352,190
721,2453871,4.6264,25
722,3942634,3.84224,14
723,3722820,6.74964,108
724,2783596,5.44323,44
725,4017212,5.47657,45
726,3797295,7.74084,214
727,2368492,4.06457,17
728,3247757,8.13472,281
729,3882681,8.55288,376
730,2563785,4.67161,25
731,2588319,9.71986,843
732,2843560,5.66433,51
733,3027943,5.24636,38
734,3772775,6.48947,90
735,2708229,8.73871,427
736,2453881,5.09347,34
737,3687405,9.2618,614
738,3333247,11.325,2565
739,3942648,11.3441,2600
740,3662876,4.48508,22
741,3503119,7.07949,135
742,2953481,4.46789,22
743,3027956,5.41358,43
744,3027961,5.13326,35
745,2843579,8.52619,369
746,3577513,9.63369,794
747,2953501,4.98034,32
748,2927967,5.00083,32
749,2978026,8.96184,499
750,3137875,6.19332,73
751,3187834,7.3654,165
752,2428478,5.67046,51
753,3247784,7.61421,196
754,2648305,6.65498,101
755,2673730,8.27385,310
756,3383227,7.96633,250
757,3832760,7.47283,178
758,3882720,8.27867,311
759,4017245,5.06661,34
760,3113456,4.90127,30
761,3443183,4.31266,20
762,3687435,5.32257,40
763,3553103,5.09261,34
764,2868131,6.43629,87
765,2428501,9.33502,646
766,3137901,6.21256,74
767,3942681,6.25324,76
768,2893562,5.72685,53
769,3832777,5.50296,45
770,3443206,4.26225,19
771,3357723,5.00332,32
772,3722872,10.7904,1771
773,2977949,5.97012,63
774,2978050,7.13223,140
775,3662924,7.42203,171
776,2843619,9.00171,513
777,2927993,6.92255,121
778,3247818,5.40474,42
779,3687452,9.97408,1006
780,3917268,4.1433,18
781,3577545,7.30008,158
782,3467637,7.28162,156
783,3503164,7.75922,217
784,2903574,5.21015,37
785,3663033,5.43242,43
786,3333309,5.94375,62
787,2953536,5.26307,38
788,2708287,6.43541,87
789,3807370,9.65966,809
790,3832805,4.13635,18
791,3527597,4.78911,28
792,4017281,4.66659,25
793,3443226,4.96185,31
794,2623821,4.70701,26
795,2818212,5.82748,57
796,3417703,8.51828,367
797,2673773,6.59377,97
798,2903588,8.535,371
799,3723005,6.67854,102
800,3553141,7.24479,152
801,3687475,4.90525,30
802,3307795,6.80265,112
803,2513925,7.36679,165
804,3917305,7.68842,206
805,3663055,6.79709,111
806,3223425,5.87969,59
807,2318637,9.08245,542
808,3722917,9.60826,781
809,2404122,4.46639,22
810,3577577,4.37475,21
811,2368590,5.27011,39
812,3832830,6.02831,65
813,2953570,3.70559,13
814,3687494,9.85629,927
815,2783715,4.26877,19
816,3188014,4.03623,16
817,3527641,4.21819,19
818,3663074,6.04808,66
819,2648378,7.4151,171
820,2318656,8.77278,437
821,3577595,4.37734,21
822,3503224,8.06408,268
823,2623859,8.66191,405
824,2733767,8.38463,334
825,3333358,5.94997,62
826,2538480,7.33199,161
827,3357785,8.0856,272
828,3577612,5.39423,42
829,3383322,7.27203,155
830,3527655,4.10837,17
831,2758298,9.87728,940
832,3942766,7.12804,140
833,2673830,8.23021,300
834,3527662,4.50029,23
835,2404158,7.98447,253
836,3882823,5.54195,47
837,3832865,5.61517,49
838,3307851,6.46658,88
839,3467720,4.70802,26
840,3188050,6.32328,80
841,3417767,4.4597,22
842,3723071,4.94811,31
843,3443296,8.66153,405
844,3992747,5.02729,33
845,3527684,4.80876,28
846,2454140,8.05454,266
847,2903673,7.40852,170
848,3942805,6.38241,83
849,3832887,3.38725,10
850,3333410,4.32219,20
851,3553228,6.29173,78
852,3882854,8.39481,337
853,3747522,4.26702,19
854,3417788,4.45722,22
855,3357840,3.60754,12
856,3832906,5.20622,37
857,4017381,8.26511,308
858,3333417,3.80927,14
859,3807474,11.1058,2204
860,2623922,5.97493,63
861,2673873,7.54871,187
862,2708407,7.64709,200
863,2404209,11.0897,2179
864,2868265,9.61974,787
865,3333425,3.58463,12
866,3417809,6.38756,84
867,2903703,5.26733,39
868,2514122,9.85902,929
869,3832918,8.3894,335
870,2783788,5.75605,54
871,3527722,3.66089,13
872,3807487,6.3052,79
873,2318736,9.54303,746
874,3333433,4.8863,30
875,3723120,4.74855,27
876,3942838,5.58661,48
877,3443348,10.8708,1873
878,2673902,9.23587,603
879,2868283,5.21709,37
880,3577683,4.86487,29
881,3188111,4.35872,21
882,3273484,7.91913,242
883,3333443,7.55353,188
884,2708429,8.10214,275
885,2893721,5.80534,56
886,3723128,7.61527,196
887,3833040,8.38159,334
888,3527745,6.67697,102
889,3467788,4.72067,26
890,3917431,5.71012,52
891,3663181,6.00175,64
892,3417842,10.7069,1671
893,3223551,8.84235,459
894,3247977,10.3951,1347
895,3357885,5.40561,42
896,3883013,9.59029,771
897,3307939,10.1166,1110
898,3577715,3.813,14
899,3053691,6.1204,70
900,2404254,9.50382,726
901,2538600,7.47075,177
902,2624074,6.80446,112
903,2708457,6.66354,101
904,3832964,9.11868,556
905,2953711,6.17983,72
906,2673937,9.62254,788
907,2843804,6.21266,74
908,3188147,3.49594,11
909,3917455,4.54428,23
910,3138204,7.32295,160
911,2674047,7.93083,244
912,3832978,7.28884,156
913,2428699,6.269,77
914,2733898,4.90324,30
915,3333488,5.59039,48
916,3527785,3.7773,14
917,3797561,5.32601,40
918,3663228,5.01184,32
919,2624110,10.3947,1346
920,2648535,7.67111,204
921,2734018,5.46091,44
922,3882949,5.52551,46
923,2903777,4.97608,31
924,3832992,5.88352,59
925,3833093,8.78847,442
926,3223605,8.07564,270
927,3807569,8.0345,262
928,3723186,8.37927,333
929,2903782,5.28401,39
930,3527807,4.55561,24
931,3942916,4.1473,18
932,3773149,4.73235,27
933,2733928,8.21124,296
934,3723204,4.44581,22
935,3553337,6.76037,108
936,2514216,6.57168,95
937,3188180,3.43101,11
938,2708498,5.09896,34
939,3418007,7.875,235
940,3883064,6.82966,114
941,3613300,6.90985,120
942,2953751,5.30509,40
943,3358049,6.25362,76
944,3443434,3.92958,15
945,4017501,5.05921,33
946,2783886,6.69858,104
947,2893794,4.99272,32
948,3188186,3.63131,12
949,3833122,5.47937,45
950,3747638,5.11336,35
951,3188200,4.47956,22
952,3493391,4.29234,20
953,3577775,5.37418,41
954,2734047,4.74891,27
955,2843855,5.15179,36
956,3188205,4.13488,18
957,3273578,3.57594,12
958,3333538,5.37042,41
959,3807595,5.88084,59
960,3527831,4.63002,25
961,3942940,5.11956,35
962,3773174,7.17567,145
963,3882984,8.54491,373
964,2624147,4.68009,26
965,4017519,9.90889,961
966,2783916,4.19707,18
967,2428760,6.87659,118
968,3273601,10.2421,1211
969,3833141,4.69705,26
970,3747657,6.69677,104
971,3687698,6.70143,104
972,2953777,7.74181,214
973,3223646,6.00336,64
974,3942954,9.37222,663
975,3527847,4.26927,19
976,3443464,4.71623,26
977,3687715,6.48267,89
978,2404344,7.47581,178
979,2784027,10.2902,1252
980,2818454,4.86335,29
981,3188231,3.48161,11
982,3663287,11.9232,3884
983,3613338,7.31939,160
984,2843882,6.30637,79
985,4017538,4.48388,22
986,2344393,10.6398,1596
987,3358090,8.46533,353
988,3468009,7.75711,216
989,2893847,6.52279,92
990,3188238,4.14155,18
991,3333572,4.84023,29
992,3527864,5.85686,58
993,2953798,5.90644,60
994,3553389,4.53479,23
995,2394361,5.81009,56
996,3917549,4.40616,21
997,2514271,4.8254,28
998,2624178,4.46699,22
999,2368840,9.69433,828
1000,2674138,7.02883,131
1001,3358112,5.62057,49
1002,2478748,7.60476,195
1003,2698565,7.61421,196
1004,3883129,6.72068,105
1005,3917555,3.51053,11
1006,3723264,8.88405,472
1007,3493448,7.17841,145
1008,2428796,4.69117,26
1009,3163728,4.93437,31
1010,3078348,5.58648,48
1011,3917563,4.57966,24
1012,2404377,5.98254,63
1013,2928392,8.89096,475
1014,3053827,4.69411,26
1015,3943101,6.90703,120
1016,3833183,3.50336,11
1017,3333603,7.32384,160
1018,3687752,4.96513,31
1019,3223687,4.37077,21
1020,3333595,12.3209,5116
1021,2454343,4.02305,16
1022,3773241,8.10445,275
1023,2514304,4.60737,24
1024,3942998,4.91877,30
1025,3747717,8.86222,465
1026,3773244,6.40728,85
1027,3417988,5.97104,63
1028,2784074,6.52879,92
1029,3418100,4.20903,18
1030,3467949,5.24117,38
1031,2674168,6.29429,78
1032,2843935,4.13647,18
1033,3917582,4.57117,24
1034,3637818,10.0879,1088
1035,2783978,5.90706,60
1036,3528013,4.11394,17
1037,2344450,5.95289,62
1038,3333622,8.17134,288
1039,2904000,6.67925,102
1040,3833214,3.81419,14
1041,2708610,8.89215,475
